Data de ReferÃªncia,Temperatura Mediana (Â°C)
2007-01-01,24.75
2007-02-01,24.049999999999997
2007-03-01,23.25
2007-04-01,21.35
2007-05-01,13.45
2007-06-01,12.75
2007-07-01,9.85
2007-08-01,12.100000000000001
2007-09-01,18.575000000000003
2007-10-01,20.025
2007-11-01,20.5
2007-12-01,23.8
2008-01-01,24.55
2008-02-01,23.55
2008-03-01,22.575000000000003
2008-04-01,18.424999999999997
2008-05-01,14.3
2008-06-01,12.95
2008-07-01,15.275
2008-08-01,14.375
2008-09-01,15.2
2008-10-01,19.4
2008-11-01,23.1
2008-12-01,24.2
2009-01-01,23.85
2009-02-01,24.174999999999997
2009-03-01,22.799999999999997
2009-04-01,19.15
2009-05-01,17.275
2009-06-01,11.3
2009-07-01,11.0
2009-08-01,14.8
2009-09-01,16.075000000000003
2009-10-01,18.5
2009-11-01,22.75
2009-12-01,24.299999999999997
2010-01-01,24.55
2010-02-01,24.6
2010-03-01,21.549999999999997
2010-04-01,15.75
2010-05-01,15.399999999999999
2010-06-01,14.55
2010-07-01,12.5
2010-08-01,14.325000000000001
2010-09-01,16.975
2010-10-01,18.200000000000003
2010-11-01,21.025
2010-12-01,24.15
2011-01-01,25.674999999999997
2011-02-01,23.75
2011-03-01,22.125
2011-04-01,19.549999999999997
2011-05-01,15.75
2011-06-01,13.3
2011-07-01,13.3
2011-08-01,13.975
2011-09-01,16.725
2011-10-01,18.65
2011-11-01,22.225
2011-12-01,22.549999999999997
2012-01-01,25.5
2012-02-01,25.799999999999997
2012-03-01,23.175
2012-04-01,18.7
2012-05-01,17.9
2012-06-01,13.350000000000001
2012-07-01,11.149999999999999
2012-08-01,18.7
2012-09-01,17.950000000000003
2012-10-01,20.85
2012-11-01,23.625
2012-12-01,23.674999999999997
2013-01-01,23.299999999999997
2013-02-01,23.45
2013-03-01,20.15
2013-04-01,19.4
2013-05-01,15.425
2013-06-01,13.25
2013-07-01,13.600000000000001
2013-08-01,11.2
2013-09-01,16.35
2013-10-01,19.4
2013-11-01,21.200000000000003
2013-12-01,27.200000000000003
2014-01-01,25.4
2014-02-01,24.6
2014-03-01,20.549999999999997
2014-04-01,19.775
2014-05-01,15.65
2014-06-01,14.2
2014-07-01,14.9
2014-08-01,15.5
2014-09-01,17.35
2014-10-01,20.5
2014-11-01,22.3
2014-12-01,22.5
2015-01-01,
2015-02-01,23.8
2015-03-01,22.75
2015-04-01,19.85
2015-05-01,17.299999999999997
2015-06-01,15.399999999999999
2015-07-01,14.1
2015-08-01,18.45
2015-09-01,16.75
2015-10-01,18.25
2015-11-01,20.55
2015-12-01,22.75
2016-01-01,25.25
2016-02-01,24.799999999999997
2016-03-01,20.7
2016-04-01,21.55
2016-05-01,14.175
2016-06-01,11.424999999999999
2016-07-01,13.0
2016-08-01,15.425
2016-09-01,14.5
2016-10-01,19.35
2016-11-01,21.1
2016-12-01,23.75
2017-01-01,25.4
2017-02-01,
2017-03-01,22.55
2017-04-01,19.225
2017-05-01,16.775
2017-06-01,14.45
2017-07-01,
2017-08-01,16.65
2017-09-01,18.8
2017-10-01,19.5
2017-11-01,20.275
2017-12-01,24.2
2018-01-01,24.075000000000003
2018-02-01,23.375
2018-03-01,21.8
2018-04-01,22.025
2018-05-01,18.049999999999997
2018-06-01,11.55
2018-07-01,12.025
2018-08-01,12.649999999999999
2018-09-01,18.55
2018-10-01,19.575000000000003
2018-11-01,22.424999999999997
2018-12-01,23.375
2019-01-01,24.5
2019-02-01,23.625
2019-03-01,21.575000000000003
2019-04-01,21.25
2019-05-01,17.85
2019-06-01,18.05
2019-07-01,13.25
2019-08-01,14.3
2019-09-01,15.675
2019-10-01,19.049999999999997
2019-11-01,21.95
2019-12-01,23.975
2020-01-01,24.75
2020-02-01,24.2
2020-03-01,23.8
2020-04-01,19.950000000000003
2020-05-01,15.7
2020-06-01,14.55
2020-07-01,11.600000000000001
2020-08-01,16.275
2020-09-01,16.1
2020-10-01,19.65
2020-11-01,22.25
2020-12-01,23.25
2021-01-01,23.9
2021-02-01,22.725
2021-03-01,21.7
2021-04-01,20.549999999999997
2021-05-01,13.95
2021-06-01,12.625
2021-07-01,12.8
2021-08-01,14.9
2021-09-01,17.049999999999997
2021-10-01,18.875
2021-11-01,21.9
2021-12-01,24.0
2022-01-01,27.15
2022-02-01,25.15
2022-03-01,21.2
2022-04-01,18.8
2022-05-01,14.600000000000001
2022-06-01,11.95
2022-07-01,
2022-08-01,14.95
2022-09-01,15.3
2022-10-01,17.95
2022-11-01,21.625
2022-12-01,25.225
